1,molecule,Formaldehyde,"4.0E-7, 4.0E-7","6( 5, 1)- 6( 5, 2)",-19.9242,,line_bottom,line_bottom2,CDMS
123,H2CO,Formaldehyde,"0.05481750000000001, 0.0548175","6( 3, 3)- 6( 3, 4)",-9.7612,,179.40294,179.40557,CDMS
124,H2CO,Formaldehyde,"0.0548201, 0.0548201","6( 3, 3)- 6( 3, 4), F= 5- 6",-11.8671,,179.40294,179.40557,CDMS
125,H2CO,Formaldehyde,"0.05482650000000001, 0.0548265","6( 3, 3)- 6( 3, 4), F= 6- 7",-11.8662,,179.40294,179.40557,CDMS
126,H2CO,Formaldehyde,"0.0634462, 0.0634462","12( 4, 8)-12( 4, 9)",-10.5559,,461.00364,461.00668,CDMS
127,H2CO,Formaldehyde,"0.06466970000000001, 0.0646697","35( 7,28)-35( 7,29)",-13.3835,,2773.22645,2773.22955,CDMS
128,H2CO,Formaldehyde,"0.0653011, 0.0653011","19( 5,14)-19( 5,15)",-10.7745,,958.07159,958.07472,CDMS
129,H2CO,Formaldehyde,"0.0671383, 0.0671383","53( 9,44)-53( 9,45)",-17.8779,,5923.56539,5923.56861,CDMS
130,H2CO,Formaldehyde,"0.07061709999999999, 0.0706171","44( 8,36)-44( 8,37)",-15.8339,,4199.15755,4199.16094,CDMS
131,H2CO,Formaldehyde,"0.0711392, 0.0711392","2( 2, 0)- 2( 2, 1)",-9.7574,,57.60858,57.612,CDMS
132,H2CO,Formaldehyde,"0.0737304, 0.0737304","27( 6,21)-27( 6,22)",-12.2763,,1743.26232,1743.26586,CDMS
133,HDO,Water,"0.0793758, 0.0793758","9( 6, 3)- 9( 6, 4)",-11.6221,,1790.4571,1790.46091,JPL
134,H2CO,Formaldehyde,"0.093023, 0.093023","54( 9,45)-54( 9,46)",-17.8748,,6110.7689,6110.77336,CDMS
135,H2CO,Formaldehyde,"0.0952693, 0.0952693","36( 7,29)-36( 7,30)",-13.2417,,2898.7829,2898.78747,CDMS
136,H2CO,Formaldehyde,"0.10030240000000001, 0.1003024","45( 8,37)-45( 8,38)",-15.7664,,4355.69889,4355.70371,CDMS
137,HDO,Water,"0.1031505, 0.1031505","12( 7, 5)-12( 7, 6)",-12.837,,2794.62583,2794.63078,JPL
138,H2CO,Formaldehyde,"0.1084834, 0.1084834","20( 5,15)-20( 5,16)",-10.4572,,1028.01301,1028.01822,CDMS
139,H2CO,Formaldehyde,"0.1133898, 0.1133898","28( 6,22)-28( 6,23)",-12.0603,,1841.08636,1841.0918,CDMS
140,H2CO,Formaldehyde,"0.1196146, 0.1196146","13( 4, 9)-13( 4,10)",-10.1049,,506.48052,506.48626,CDMS
141,H2CO,Formaldehyde,"0.1280273, 0.1280273","55( 9,46)-55( 9,47)",-17.8824,,6301.39884,6301.40499,CDMS
142,H2CO,Formaldehyde,"0.1369254, 0.1369254","7( 3, 4)- 7( 3, 5)",-9.0645,,203.88632,203.8929,CDMS
143,H2CO,Formaldehyde,"0.1387619, 0.1387619","37( 7,30)-37( 7,31)",-13.1146,,3027.82189,3027.82855,CDMS
144,H2CO,Formaldehyde,"0.1412691, 0.1412691","46( 8,38)-46( 8,39)",-15.711,,4515.69917,4515.70595,CDMS
145,H2CO,Formaldehyde,"0.1716289, 0.1716289","29( 6,23)-29( 6,24)",-11.8628,,1942.40805,1942.41628,CDMS
146,H2CO,Formaldehyde,"0.1750649, 0.1750649","56( 9,47)-56( 9,48)",-17.9005,,6495.45276,6495.46117,CDMS
147,H2CO,Formaldehyde,"0.1756413, 0.1756413","21( 5,16)-21( 5,17)",-10.1664,,1101.45971,1101.46814,CDMS
148,H2CO,Formaldehyde,"0.19736089999999995, 0.1973609","47( 8,39)-47( 8,40)",-15.6677,,4679.15682,4679.16629,CDMS
149,H2CO,Formaldehyde,"0.1999401, 0.1999401","38( 7,31)-38( 7,32)",-13.0017,,3160.34313,3160.35272,CDMS
150,HDO,Water,"0.2099135, 0.2099135","7( 5, 2)- 7( 5, 3)",-9.9433,,1176.92197,1176.93205,JPL
151,H2CO,Formaldehyde,"0.2148116, 0.2148116","14( 4,10)-14( 4,11)",-9.6989,,555.46412,555.47443,CDMS
152,H2CO,Formaldehyde,"0.2378843, 0.2378843","57( 9,48)-57( 9,49)",-17.9289,,6692.92865,6692.94007,CDMS
153,H2CO,Formaldehyde,"0.25594659999999997, 0.2559466","30( 6,24)-30( 6,25)",-11.6829,,2047.22781,2047.24009,CDMS
154,H2CO,Formaldehyde,"0.2735807, 0.2735807","48( 8,40)-48( 8,41)",-15.6359,,4846.07053,4846.08366,CDMS
155,H2CO,Formaldehyde,"0.2778114, 0.2778114","22( 5,17)-22( 5,18)",-9.9002,,1178.41282,1178.42616,CDMS
156,H2CO,Formaldehyde,"0.2851468, 0.2851468","39( 7,32)-39( 7,33)",-12.9025,,3296.3459,3296.35959,CDMS
157,H2CO,Formaldehyde,"0.30086989999999997, 0.3008699","8( 3, 5)- 8( 3, 6)",-8.4764,,231.87268,231.88712,CDMS
158,HDO,Water,"0.3103927, 0.3103927","10( 6, 4)-10( 6, 5)",-10.8068,,2013.48509,2013.49999,JPL
159,HDO,Water,"0.3333633, 0.3333633","13( 7, 6)-13( 7, 7)",-12.2722,,3083.03981,3083.05581,JPL
